EIN_YEAR,ba,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
952039198_2013.0,YMCA OF SAN DIEGO COUNTY,952039198,2013.0,0,0,0,22645000,0,45948000,0,7030000,68593000
952039198_2021.0,YMCA OF SAN DIEGO COUNTY,952039198,2021.0,92123,0,0,111000,162000,122845000,8442000,517000,131560000
952039198_2020.0,YMCA OF SAN DIEGO COUNTY,952039198,2020.0,92123,0,0,0,0,131804000,37728000,2305000,169532000
952039198_2019.0,YMCA OF SAN DIEGO COUNTY,952039198,2019.0,92123,0,0,0,0,103823000,20816000,0,124639000
952039198_2018.0,YMCA OF SAN DIEGO COUNTY,952039198,2018.0,92123,0,0,0,0,92115000,11971000,440000,104086000
952039198_2017.0,YMCA OF SAN DIEGO COUNTY,952039198,2017.0,92123,0,0,0,0,79369000,15066000,0,94435000
952039198_2016.0,YMCA OF SAN DIEGO COUNTY,952039198,2016.0,92123,0,0,0,0,66857000,16797000,1985000,83654000
952039198_2015.0,YMCA OF SAN DIEGO COUNTY,952039198,2015.0,92123,0,0,0,0,59368000,15803000,0,75171000
952039198_2014.0,YMCA OF SAN DIEGO COUNTY,952039198,2014.0,92123,0,0,0,0,52614000,12983000,731000,65597000
952039198_2013.0,YMCA OF SAN DIEGO COUNTY,952039198,2013.0,0,0,0,22645000,0,45948000,0,7030000,68593000
263405689_2021.0,GENERATEHOPE INC,263405689,2021.0,92108,0,0,159532,0,321341,2444340,61751,2925213
263405689_2020.0,GENERATEHOPE INC,263405689,2020.0,92108,0,0,133830,0,60934,1162044,76861,1356808
263405689_2019.0,GENERATEHOPE INC,263405689,2019.0,92108,0,0,190000,0,61264,871044,53273,1122308
263405689_2018.0,GENERATEHOPE INC,263405689,2018.0,92108,0,0,204598,0,65995,1195492,317578,1466085
263405689_2017.0,GENERATEHOPE INC,263405689,2017.0,92108,0,0,139870,0,83947,705417,149318,929234
263405689_2016.0,GENERATEHOPE INC,263405689,2016.0,92108,0,0,0,0,52000,971973,736500,1023973
263405689_2015.0,GENERATEHOPE INC,263405689,2015.0,92108,0,0,12315,0,153154,559739,0,725208
263405689_2014.0,GENERATEHOPE INC,263405689,2014.0,92108,0,0,0,0,100000,227478,0,327478
263405689_2013.0,GENERATEHOPE INC,263405689,2013.0,0,0,0,0,0,100000,179228,0,279228
331146733_2022.0,THINK DIGNITY,331146733,2022.0,92104,0,0,63722,0,213571,256658,19922,533951
331146733_2021.0,THINK DIGNITY,331146733,2021.0,92104,0,0,45695,0,189346,273056,63404,508097
331146733_2020.0,THINK DIGNITY,331146733,2020.0,92104,0,0,0,0,217312,305452,37406,522764
331146733_2019.0,THINK DIGNITY,331146733,2019.0,92104,0,0,48628,0,129001,125440,43807,303069
331146733_2018.0,THINK DIGNITY,331146733,2018.0,92104,0,0,33682,0,114747,324226,25426,472655
331146733_2017.0,THINK DIGNITY,331146733,2017.0,92104,0,4925,15100,0,106172,255771,0,381968
331146733_2016.0,Think Dignity,331146733,2016.0,92104,0,3445,20231,0,121084,114551,11272,259311
331146733_2014.0,Girls Think Tank,331146733,2014.0,92101,0,8885,0,0,0,94368,0,103253
953497926_2021.0,COMMUNITY RESOURCE CENTER,953497926,2021.0,92024,0,0,114007,0,3001809,1691815,1049099,4807631
953497926_2020.0,COMMUNITY RESOURCE CENTER,953497926,2020.0,92024,0,0,77637,0,3252755,4043651,1035391,7374043
953497926_2019.0,COMMUNITY RESOURCE CENTER,953497926,2019.0,92024,0,0,301149,0,2338255,2490058,627749,5129462
953497926_2018.0,COMMUNITY RESOURCE CENTER,953497926,2018.0,92024,347,0,68811,0,1526759,1422107,614244,3018024
953497926_2017.0,COMMUNITY RESOURCE CENTER,953497926,2017.0,92024,158,0,73475,0,1305024,1827504,548988,3206161
953497926_2016.0,COMMUNITY RESOURCE CENTER,953497926,2016.0,92024,1043,0,4960,0,1074638,1221054,43662,2301695
953497926_2015.0,Community Resource Center,953497926,2015.0,92024,2081,0,178433,0,877544,1118465,37633,2176523
953497926_2014.0,COMMUNITY RESOURCE CENTER,953497926,2014.0,92024,4086,0,151650,0,112385,1775827,2977,2043948
953497926_2013.0,COMMUNITY RESOURCE CENTER,953497926,2013.0,0,5786,0,58671,0,1215256,1231633,13786,2511346
953302967_2021.0,MENTAL HEALTH SYSTEMS INC,953302967,2021.0,92123,0,0,0,0,93554678,271291,0,93825969
953302967_2020.0,MENTAL HEALTH SYSTEMS INC,953302967,2020.0,92123,0,0,0,0,98611907,25197,0,98637104
953302967_2019.0,MENTAL HEALTH SYSTEMS INC,953302967,2019.0,92123,0,0,0,0,90049407,32870,0,90082277
953302967_2018.0,MENTAL HEALTH SYSTEMS INC,953302967,2018.0,92123,0,0,0,0,71062143,77961,0,71140104
953302967_2017.0,MENTAL HEALTH SYSTEMS INC,953302967,2017.0,92123,0,0,0,0,61935444,79120,0,62014564
953302967_2016.0,Mental Health Systems Inc,953302967,2016.0,92123,0,0,0,0,62030562,78628,0,62109190
953302967_2015.0,MENTAL HEALTH SYSTEMS INC,953302967,2015.0,92123,0,0,0,0,67248615,281825,0,67530440
953302967_2014.0,MENTAL HEALTH SYSTEMS INC,953302967,2014.0,92123,0,0,0,0,72132439,267385,0,72399824
953302967_2013.0,MENTAL HEALTH SYSTEMS INC,953302967,2013.0,0,0,0,30637,0,0,109691,0,140328
550806460_2022.0,Bilateral Safety Corridor Coalition,550806460,2022.0,91950,0,0,8407,0,291440,270209,0,570056
550806460_2021.0,Bilateral Safety Corridor Coalition,550806460,2021.0,91950,0,0,0,0,239763,227448,0,467211
550806460_2020.0,Bilateral Safety Corridor Coalition,550806460,2020.0,91950,0,0,0,0,161068,218547,6000,379615
550806460_2019.0,Bilateral Safety Corridor Coalition,550806460,2019.0,91950,0,0,0,0,0,269047,0,269047
550806460_2018.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2018.0,91950,0,0,0,0,0,297479,0,297479
550806460_2017.0,Bilateral Safety Corridor Coalition,550806460,2017.0,91950,0,0,0,0,171066,159109,0,330175
550806460_2016.0,Bilateral Safety Corridor Coalition,550806460,2016.0,91950,0,0,0,0,188786,236171,0,424957
550806460_2015.0,Bilateral Safety Corridor Coalition,550806460,2015.0,91950,0,0,0,0,159442,117018,0,276460
